total_bytes,total_packets,flow_duration,bytes_per_second,packets_per_second,avg_packet_size,std_packet_size,packet_size_variance,avg_inter_arrival_time,protocol_type,protocol_diversity,unique_dst_ports,unique_src_ports,is_encrypted,tcp_flag_ratio,payload_entropy,bidirectional_ratio,time_of_day,connection_rate,failed_connection_ratio,port_scan_indicator
0,2,0.0,0.0,41666.7,3.0,0.0,0.0,0.0,OTHER,1,1,1,0,0.0,0.1,0.0,evening,4166.67,0.0,0
454,4,0.0,454000.0,15384.6,140.5,104.6,10944.3,0.0001,UDP,1,1,1,0,0.0,4.7,0.5,evening,1538.46,0.0,0
0,2,0.0,0.0,38461.5,0.0,0.0,0.0,0.0001,OTHER,1,1,1,0,1.0,0.0,0.5,afternoon,3846.15,0.0,0
5527,18,0.25,22400.9,73.0,339.7,726.7,528151.1,0.0145,TCP,1,1,1,1,0.0,6.0,0.39,evening,7.3,0.0,0
0,5,0.01,0.0,805.3,7.4,15.1,228.2,0.0016,TCP,1,1,1,1,1.0,0.2,0.0,evening,80.53,0.0,0
190,4,0.0,190000.0,13986.0,72.2,34.0,1153.2,0.0001,UDP,1,1,1,0,0.0,2.4,0.5,afternoon,1398.6,0.0,0
11884,30,22.94,518.0,1.3,478.0,686.3,471048.1,0.7911,TCP,1,1,1,1,0.0,6.0,0.43,afternoon,0.13,0.0,0
0,2,0.0,0.0,25974.0,0.0,0.0,0.0,0.0001,OTHER,1,1,1,0,1.0,0.0,0.5,afternoon,2597.4,0.0,0
168,4,0.22,775.0,18.5,66.8,27.9,780.3,0.0723,UDP,1,1,1,0,0.0,2.2,0.5,evening,1.85,0.0,0
0,2,0.0,0.0,23529.4,0.0,0.0,0.0,0.0001,OTHER,1,1,1,0,1.0,0.0,0.5,afternoon,2352.94,0.0,0
0,5,13.63,0.0,0.4,0.0,0.0,0.0,3.408,TCP,1,1,1,0,1.0,0.0,0.4,evening,0.04,0.0,0
576,34,110.66,5.2,0.3,119.2,493.0,243047.8,3.3533,TCP,1,1,1,1,0.0,4.0,0.47,night,0.03,0.0,0
602,14,1.23,489.6,11.4,100.1,159.0,25282.8,0.0946,TCP,1,1,1,1,0.0,3.3,0.57,morning,1.14,0.0,0
202,4,0.13,1512.4,29.9,82.8,31.8,1009.2,0.0445,UDP,1,1,1,0,0.0,2.8,0.5,afternoon,2.99,0.0,0
132,4,0.02,5511.0,167.0,58.5,17.5,307.2,0.008,UDP,1,1,1,0,0.0,1.9,0.5,evening,16.7,0.0,0
194,4,0.19,1031.6,21.3,82.2,28.5,811.2,0.0627,UDP,1,1,1,0,0.0,2.7,0.5,evening,2.13,0.0,0
975,14,0.12,8384.1,120.4,122.2,237.2,56279.2,0.0089,TCP,1,1,1,1,0.0,4.1,0.29,afternoon,12.04,0.0,0
48,17,75.45,0.6,0.2,6.4,0.0,0.0,4.7155,TCP,1,1,1,0,1.0,0.2,0.47,morning,0.02,0.0,0
108,4,0.0,108000.0,24844.7,55.5,8.8,76.8,0.0001,UDP,1,1,1,0,0.0,1.9,0.5,evening,2484.47,0.0,0
94,4,0.0,94000.0,29629.6,46.8,8.8,76.8,0.0,UDP,1,1,1,0,0.0,1.6,0.5,evening,2962.96,0.0,0
