total_bytes,total_packets,flow_duration,bytes_per_second,packets_per_second,avg_packet_size,std_packet_size,packet_size_variance,avg_inter_arrival_time,protocol_type,protocol_diversity,unique_dst_ports,unique_src_ports,is_encrypted,tcp_flag_ratio,payload_entropy,bidirectional_ratio,time_of_day,connection_rate,failed_connection_ratio,port_scan_indicator
62,2,0.0,62000.0,666666.7,93.0,0.0,0.0,0.0,OTHER,1,1,1,0,0.0,3.1,0.5,afternoon,66666.67,0.0,0
2065,4,0.0,2065000.0,45454.5,516.2,637.3,406137.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,morning,4545.45,0.0,0
62,2,0.0,62000.0,666666.7,93.0,0.0,0.0,0.0,OTHER,1,1,1,0,0.0,3.1,0.5,evening,66666.67,0.0,0
2071,4,0.0,2071000.0,53333.3,520.8,638.3,407488.8,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,evening,5333.33,0.0,0
37,3,0.0,37000.0,1000000.0,16.3,12.5,156.2,0.0,TCP,1,1,1,1,1.0,0.5,0.67,afternoon,100000.0,0.0,0
2065,4,0.0,2065000.0,42553.2,516.2,637.3,406137.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,night,4255.32,0.0,0
62,2,0.0,62000.0,666666.7,93.0,0.0,0.0,0.0,OTHER,1,1,1,0,0.0,3.1,0.5,night,66666.67,0.0,0
2065,4,0.0,2065000.0,45977.0,516.2,637.3,406137.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,afternoon,4597.7,0.0,0
1448,3,0.0,1448000.0,1000000.0,482.7,724.0,524176.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.67,night,100000.0,0.0,0
2065,4,0.0,2065000.0,51948.1,516.2,637.3,406137.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,night,5194.81,0.0,0
12,3,0.0,12000.0,3000000.0,8.0,0.0,0.0,0.0,OTHER,1,1,1,0,1.0,0.3,0.67,afternoon,300000.0,0.0,0
37,3,0.0,37000.0,1000000.0,16.3,16.7,280.2,0.0,TCP,1,1,1,1,0.0,0.5,0.67,evening,100000.0,0.0,0
2065,4,0.0,2065000.0,137931.0,516.2,637.3,406137.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,night,13793.1,0.0,0
2676,4,0.0,2676000.0,44943.8,672.0,892.4,796322.3,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,afternoon,4494.38,0.0,0
1448,3,0.0,1448000.0,36144.6,482.7,724.0,524176.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.67,afternoon,3614.46,0.0,0
62,2,0.0,62000.0,666666.7,93.0,0.0,0.0,0.0,OTHER,1,1,1,0,0.0,3.1,0.5,morning,66666.67,0.0,0
2065,4,0.0,2065000.0,42105.3,516.2,637.3,406137.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,evening,4210.53,0.0,0
12,3,0.0,12000.0,3000000.0,8.0,0.0,0.0,0.0,OTHER,1,1,1,0,1.0,0.3,0.67,afternoon,300000.0,0.0,0
204,4,0.0,204000.0,266666.7,103.5,17.5,307.2,0.0,UDP,1,1,1,0,0.0,3.5,0.5,afternoon,26666.67,0.0,0
2071,3,0.0,2071000.0,96774.2,694.3,1029.5,1059870.2,0.0,OTHER,1,1,1,0,1.0,6.0,0.67,night,9677.42,0.0,0
31,3,0.0,31000.0,1500000.0,53.0,30.7,944.2,0.0,TCP,1,1,1,1,0.5,1.8,0.67,evening,150000.0,0.0,0
