total_bytes,total_packets,flow_duration,bytes_per_second,packets_per_second,avg_packet_size,std_packet_size,packet_size_variance,avg_inter_arrival_time,protocol_type,protocol_diversity,unique_dst_ports,unique_src_ports,is_encrypted,tcp_flag_ratio,payload_entropy,bidirectional_ratio,time_of_day,connection_rate,failed_connection_ratio,port_scan_indicator
4110,16,2.77,1482.7,5.8,329.2,546.5,298707.7,0.1848,TCP,1,1,1,1,0.0,6.0,0.5,night,0.58,0.0,0
500,4,0.02,20681.7,165.5,149.8,118.9,14126.7,0.0081,UDP,1,1,1,0,0.0,5.0,0.5,morning,16.55,0.0,0
63,2,0.17,363.2,11.5,78.5,9.2,85.3,0.1734,UDP,1,1,1,0,0.0,2.6,0.5,evening,1.15,0.0,0
6,2,0.0,6000.0,47619.0,3.0,3.5,12.0,0.0,OTHER,1,1,1,0,0.0,0.1,0.5,evening,4761.9,0.0,0
74,2,0.05,1495.6,40.4,83.0,16.2,261.3,0.0495,UDP,1,1,1,0,0.0,2.8,0.5,evening,4.04,0.0,0
158,4,0.06,2600.9,65.8,62.8,26.3,691.2,0.0202,UDP,1,1,1,0,0.0,2.1,0.5,evening,6.58,0.0,0
328,4,0.0,328000.0,21390.4,109.0,70.1,4915.2,0.0001,UDP,1,1,1,0,0.0,3.6,0.5,night,2139.04,0.0,0
0,2,0.0,0.0,666666.7,0.0,0.0,0.0,0.0,TCP,1,1,1,1,0.0,0.0,0.0,morning,66666.67,0.0,0
3710,15,5.5,674.4,2.7,271.8,489.3,239411.6,0.393,TCP,1,1,1,1,0.0,6.0,0.4,night,0.27,0.0,0
456,4,0.0,456000.0,18099.5,140.2,105.7,11174.7,0.0001,UDP,1,1,1,0,0.0,4.7,0.5,night,1809.95,0.0,0
3298,13,5.42,608.8,2.4,283.1,541.2,292951.4,0.4514,TCP,1,1,1,1,0.0,6.0,0.38,night,0.24,0.0,0
