total_bytes,total_packets,flow_duration,bytes_per_second,packets_per_second,avg_packet_size,std_packet_size,packet_size_variance,avg_inter_arrival_time,protocol_type,protocol_diversity,unique_dst_ports,unique_src_ports,is_encrypted,tcp_flag_ratio,payload_entropy,bidirectional_ratio,time_of_day,connection_rate,failed_connection_ratio,port_scan_indicator
11601,14,72.25,160.6,0.2,833.1,1434.6,2057995.8,5.5573,TCP,1,1,1,0,1.0,6.0,0.43,evening,0.02,0.0,0
11607,13,82.25,141.1,0.2,897.6,2705.0,7317264.4,6.8545,TCP,1,1,1,0,1.0,6.0,0.38,morning,0.02,0.0,0
11595,9,0.0,7818610.9,6068.8,1330.0,2119.3,4491392.0,0.0002,TCP,1,1,1,0,0.0,6.0,0.67,morning,606.88,0.0,0
0,2,0.0,0.0,7751.9,0.0,0.0,0.0,0.0003,TCP,1,1,1,0,1.0,0.0,0.0,night,775.19,0.0,0
0,5,6.89,0.0,0.7,7.2,0.0,0.0,1.7215,TCP,1,1,1,0,1.0,0.2,0.0,evening,0.07,0.0,0
11595,13,98.89,117.3,0.1,920.8,2702.8,7304968.3,8.2408,TCP,1,1,1,0,1.0,6.0,0.31,morning,0.01,0.0,0
11595,11,83.56,138.8,0.1,1087.8,2559.7,6552166.0,8.3564,TCP,1,1,1,0,1.0,6.0,0.45,afternoon,0.01,0.0,0
11595,11,99.41,116.6,0.1,1088.0,2559.4,6550757.2,9.9414,TCP,1,1,1,0,0.0,6.0,0.55,night,0.01,0.0,0
0,2,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,TCP,1,1,1,0,1.0,0.0,0.0,evening,200000.0,0.0,0
0,7,63.16,0.0,0.1,0.0,0.0,0.0,10.5,TCP,1,1,1,0,0.0,0.0,0.0,morning,0.01,0.0,0
0,2,0.0,0.0,2010.1,0.0,0.0,0.0,0.001,TCP,1,1,1,0,1.0,0.0,0.0,night,201.01,0.0,0
0,4,0.0,0.0,571428.6,1.5,2.7,7.2,0.0,TCP,1,1,1,0,1.0,0.1,0.0,morning,57142.86,0.0,0
11595,13,98.92,117.2,0.1,920.6,2172.5,4719656.6,8.2437,TCP,1,1,1,0,1.0,6.0,0.38,morning,0.01,0.0,0
6,18,103.65,0.1,0.2,141.5,116.8,13643.1,6.0971,TCP,1,1,1,0,0.0,4.7,0.17,morning,0.02,0.0,0
11595,14,100.14,115.8,0.1,854.1,1621.1,2627869.5,7.7033,TCP,1,1,1,0,1.0,6.0,0.43,morning,0.01,0.0,0
0,2,0.0,0.0,11695.9,0.0,0.0,0.0,0.0002,TCP,1,1,1,0,1.0,0.0,0.0,evening,1169.59,0.0,0
11601,7,1.81,6417.9,3.9,1660.1,2579.5,6654043.7,0.3013,TCP,1,1,1,0,0.0,6.0,0.71,evening,0.39,0.0,0
11595,14,83.43,139.0,0.2,852.4,1424.7,2029772.5,6.4175,TCP,1,1,1,0,1.0,6.0,0.43,night,0.02,0.0,0
11601,7,1.3,8937.2,5.4,1661.0,2681.4,7189672.3,0.2163,TCP,1,1,1,0,0.0,6.0,0.57,evening,0.54,0.0,0
0,4,7.01,0.0,0.6,7.5,0.0,0.0,2.3376,TCP,1,1,1,0,1.0,0.2,0.0,morning,0.06,0.0,0
11607,9,0.05,224246.5,173.9,1292.6,1904.0,3625073.8,0.0065,TCP,1,1,1,0,0.0,6.0,0.67,night,17.39,0.0,0
11601,8,0.5,23238.1,16.0,1453.4,2111.0,4456113.1,0.0713,TCP,1,1,1,0,0.0,6.0,0.62,afternoon,1.6,0.0,0
0,2,0.0,0.0,2024.3,0.0,0.0,0.0,0.001,TCP,1,1,1,0,1.0,0.0,0.0,morning,202.43,0.0,0
0,2,0.0,0.0,666666.7,0.0,0.0,0.0,0.0,TCP,1,1,1,0,1.0,0.0,0.0,morning,66666.67,0.0,0
0,2,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,TCP,1,1,1,0,1.0,0.0,0.0,morning,50000.0,0.0,0
11607,9,1.02,11412.4,8.8,1292.6,2138.3,4572451.6,0.1271,TCP,1,1,1,0,0.0,6.0,0.67,afternoon,0.88,0.0,0
11601,8,0.25,46254.0,31.9,1453.4,2866.6,8217438.1,0.0358,TCP,1,1,1,0,0.0,6.0,0.62,afternoon,3.19,0.0,0
11595,13,85.11,136.2,0.2,920.7,1666.3,2776472.4,7.0926,TCP,1,1,1,0,1.0,6.0,0.46,night,0.02,0.0,0
0,4,5.82,0.0,0.7,7.5,0.0,0.0,1.9387,TCP,1,1,1,0,1.0,0.2,0.0,night,0.07,0.0,0
0,2,0.0,0.0,1990.0,0.0,0.0,0.0,0.001,TCP,1,1,1,0,1.0,0.0,0.0,evening,199.0,0.0,0
11607,8,0.23,50487.8,34.8,1454.1,2662.3,7087654.3,0.0328,TCP,1,1,1,0,0.0,6.0,0.62,afternoon,3.48,0.0,0
11607,9,1.2,9641.2,7.5,1292.6,2138.3,4572451.6,0.1505,TCP,1,1,1,0,0.0,6.0,0.67,afternoon,0.75,0.0,0
11601,7,0.02,624448.3,376.8,1661.0,3114.0,9696700.8,0.0031,TCP,1,1,1,0,0.0,6.0,0.57,afternoon,37.68,0.0,0
11607,14,84.84,136.8,0.2,833.9,2037.8,4152810.2,6.5258,TCP,1,1,1,0,1.0,6.0,0.36,night,0.02,0.0,0
0,5,1.62,0.0,3.1,7.2,0.0,0.0,0.4055,TCP,1,1,1,0,1.0,0.2,0.0,night,0.31,0.0,0
0,5,6.69,0.0,0.7,7.2,0.0,0.0,1.6722,TCP,1,1,1,0,1.0,0.2,0.0,night,0.07,0.0,0
11595,14,116.61,99.4,0.1,856.7,1524.4,2323918.3,8.9703,TCP,1,1,1,0,1.0,6.0,0.43,afternoon,0.01,0.0,0
11601,14,82.53,140.6,0.2,833.1,1434.6,2057995.8,6.3485,TCP,1,1,1,0,1.0,6.0,0.43,afternoon,0.02,0.0,0
11595,11,67.39,172.1,0.2,1082.7,2561.9,6563285.7,6.7391,TCP,1,1,1,0,0.0,6.0,0.45,afternoon,0.02,0.0,0
11595,10,85.36,135.8,0.1,1200.4,1576.8,2486254.8,9.4846,TCP,1,1,1,0,0.0,6.0,0.6,night,0.01,0.0,0
0,2,48.98,0.0,0.0,0.0,0.0,0.0,49.0,TCP,1,1,1,0,1.0,0.0,0.0,evening,0.0,0.0,0
11595,10,85.38,135.8,0.1,1198.4,1577.7,2489068.3,9.4867,TCP,1,1,1,0,0.0,6.0,0.6,night,0.01,0.0,0
11607,14,81.17,143.0,0.2,833.5,1804.9,3257660.4,6.2439,TCP,1,1,1,0,1.0,6.0,0.43,afternoon,0.02,0.0,0
