total_bytes,total_packets,flow_duration,bytes_per_second,packets_per_second,avg_packet_size,std_packet_size,packet_size_variance,avg_inter_arrival_time,protocol_type,protocol_diversity,unique_dst_ports,unique_src_ports,is_encrypted,tcp_flag_ratio,payload_entropy,bidirectional_ratio,time_of_day,connection_rate,failed_connection_ratio,port_scan_indicator
2884,4,0.0,2884000.0,5502.1,909.2,652.3,425544.3,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,evening,550.21,0.0,0
630,4,0.0,630000.0,4184.1,1261.5,633.7,401594.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,night,418.41,0.0,0
630,4,0.0,625000.0,3968.3,1261.5,633.7,401594.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,morning,396.83,0.0,0
2884,4,0.0,2884000.0,6153.8,910.0,651.8,424830.0,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,morning,615.38,0.0,0
578,4,0.0,578000.0,4111.0,1248.5,648.0,419846.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,evening,411.1,0.0,0
110284,85,0.2,541420.0,417.3,1308.3,1254.1,1572782.7,0.0024,TCP,1,1,1,1,0.0,6.0,0.68,night,41.73,0.0,0
87401,91,0.17,521392.4,542.9,973.5,1031.7,1064450.1,0.0019,TCP,1,1,1,1,0.0,6.0,0.57,evening,54.29,0.0,0
2884,11,0.0,2624203.8,10009.1,523.5,705.5,497665.8,0.0001,OTHER,1,1,1,0,0.0,6.0,0.36,evening,1000.91,0.0,0
2065,4,0.0,2065000.0,173913.0,516.2,637.3,406137.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,night,17391.3,0.0,0
693080,465,0.24,2897673.3,1944.1,1492.3,1148.0,1317978.1,0.0005,TCP,1,1,1,1,0.0,6.0,0.74,morning,194.41,0.0,0
76713,82,0.15,518474.7,554.2,949.9,1077.7,1161501.1,0.0018,TCP,1,1,1,1,0.0,6.0,0.55,evening,55.42,0.0,0
578,4,0.0,578000.0,4175.4,1248.5,648.0,419846.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,night,417.54,0.0,0
86554,98,0.15,582365.0,659.4,892.1,818.7,670202.0,0.0015,TCP,1,1,1,1,0.0,6.0,0.61,morning,65.94,0.0,0
630,4,0.0,630000.0,4036.3,1261.5,633.7,401594.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,afternoon,403.63,0.0,0
181656,156,0.31,592475.7,508.8,1174.2,1157.3,1339449.7,0.002,TCP,1,1,1,1,0.0,6.0,0.6,afternoon,50.88,0.0,0
2668,4,0.0,2668000.0,6633.5,844.0,601.4,361681.2,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,morning,663.35,0.0,0
2820,4,0.0,2820000.0,5479.5,891.0,636.5,405073.2,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,night,547.95,0.0,0
1010943,644,0.85,1185695.6,755.3,1570.5,1226.5,1504284.8,0.0013,TCP,1,1,1,0,0.0,6.0,0.71,evening,75.53,0.0,0
192869,161,0.17,1112707.9,928.8,1207.5,1243.7,1546848.3,0.0011,TCP,1,1,1,1,0.0,6.0,0.58,morning,92.88,0.0,0
2836,11,0.0,2121166.8,8227.4,513.6,692.2,479105.1,0.0001,OTHER,1,1,1,0,0.0,6.0,0.36,afternoon,822.74,0.0,0
2820,4,0.0,2820000.0,5563.3,891.0,636.5,405073.2,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,night,556.33,0.0,0
630,4,0.0,630000.0,4192.9,1261.5,633.7,401594.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,evening,419.29,0.0,0
86554,101,0.17,508608.6,593.5,865.6,786.6,618674.5,0.0017,TCP,1,1,1,1,0.0,6.0,0.61,evening,59.35,0.0,0
2820,4,0.0,2820000.0,5772.0,891.0,636.5,405073.2,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,afternoon,577.2,0.0,0
46709,62,0.09,502825.8,667.4,773.9,803.1,645029.2,0.0015,TCP,1,1,1,1,0.0,6.0,0.56,night,66.74,0.0,0
2860,4,0.0,2860000.0,5788.7,902.5,646.3,417720.0,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,afternoon,578.87,0.0,0
233283,200,0.34,677947.2,581.2,1170.5,797.5,635987.5,0.0017,TCP,1,1,1,1,0.0,6.0,0.76,afternoon,58.12,0.0,0
630,4,0.0,630000.0,4184.1,1261.5,633.7,401594.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,morning,418.41,0.0,0
3426830,2377,0.61,5626479.8,3902.8,1442.4,1361.2,1852808.4,0.0003,TCP,1,1,1,1,0.0,6.0,0.64,afternoon,390.28,0.0,0
54639,54,0.1,527311.9,521.1,1020.1,1153.3,1330185.3,0.002,TCP,1,1,1,0,0.0,6.0,0.54,evening,52.11,0.0,0
110185,108,0.14,773244.3,757.9,1032.5,1148.0,1317921.7,0.0013,TCP,1,1,1,1,0.0,6.0,0.55,morning,75.79,0.0,0
103922,103,0.14,729774.0,723.3,1021.8,1113.9,1240847.4,0.0014,TCP,1,1,1,1,0.0,6.0,0.56,evening,72.33,0.0,0
2860,4,0.0,2860000.0,5865.1,902.5,646.3,417720.0,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,morning,586.51,0.0,0
630,4,0.0,630000.0,4153.7,1261.5,633.7,401594.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,night,415.37,0.0,0
130747,121,0.15,878682.0,813.2,1092.5,1135.5,1289393.5,0.0012,TCP,1,1,1,1,0.0,6.0,0.57,afternoon,81.32,0.0,0
110185,113,0.14,768605.6,788.2,986.9,1003.4,1006799.0,0.0013,TCP,1,1,1,1,0.0,6.0,0.58,evening,78.82,0.0,0
2884,4,0.0,2884000.0,5618.0,910.0,651.8,424830.0,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,afternoon,561.8,0.0,0
2796,4,0.0,2796000.0,5547.9,889.5,626.6,392620.8,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,afternoon,554.79,0.0,0
108751,113,0.14,760230.7,789.9,974.1,988.1,976368.5,0.0013,TCP,1,1,1,1,0.0,6.0,0.58,afternoon,78.99,0.0,0
578,4,0.0,578000.0,4004.0,1248.5,648.0,419846.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,evening,400.4,0.0,0
2718,4,0.0,2718000.0,4993.8,1728.0,21.4,456.3,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,afternoon,499.38,0.0,0
56772,74,0.11,527400.3,687.4,778.2,789.2,622874.9,0.0015,TCP,1,1,1,1,0.0,6.0,0.57,afternoon,68.74,0.0,0
2820,4,0.0,2820000.0,5376.3,891.0,636.5,405073.2,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,morning,537.63,0.0,0
242102,215,0.22,1098630.9,975.6,1132.4,1155.2,1334455.9,0.001,TCP,1,1,1,1,0.0,6.0,0.57,evening,97.56,0.0,0
165422,156,0.18,909391.8,857.6,1066.0,887.3,787384.1,0.0012,TCP,1,1,1,1,0.0,6.0,0.68,night,85.76,0.0,0
2884,4,0.0,2884000.0,5354.8,910.0,651.8,424830.0,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,morning,535.48,0.0,0
2884,4,0.0,2884000.0,5673.8,910.0,651.8,424830.0,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,night,567.38,0.0,0
98601,80,0.13,731510.3,593.5,1247.1,1208.0,1459365.4,0.0017,TCP,1,1,1,1,0.0,6.0,0.64,evening,59.35,0.0,0
2065,4,0.0,2065000.0,54794.5,516.2,637.3,406137.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,afternoon,5479.45,0.0,0
504,3,0.0,504000.0,31578.9,1120.7,710.0,504112.3,0.0,TCP,1,1,1,1,0.5,6.0,0.33,morning,3157.89,0.0,0
104393,106,0.14,725450.1,736.6,997.3,1075.5,1156792.0,0.0014,TCP,1,1,1,1,0.0,6.0,0.55,night,73.66,0.0,0
96423,100,0.19,502514.6,521.2,972.9,1128.6,1273660.1,0.0019,TCP,1,1,1,1,0.0,6.0,0.54,evening,52.12,0.0,0
630,4,0.0,630000.0,4184.1,1261.5,633.7,401594.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,morning,418.41,0.0,0
578,4,0.0,578000.0,4232.8,1248.5,648.0,419846.7,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,night,423.28,0.0,0
108751,113,0.14,760321.0,790.0,974.2,988.2,976625.1,0.0013,TCP,1,1,1,1,0.0,6.0,0.58,night,79.0,0.0,0
110284,88,0.17,631012.8,503.5,1264.0,1208.4,1460182.4,0.002,TCP,1,1,1,1,0.0,6.0,0.65,night,50.35,0.0,0
104393,105,0.14,733060.9,737.3,1006.8,1094.6,1198249.0,0.0014,TCP,1,1,1,1,0.0,6.0,0.55,evening,73.73,0.0,0
2065,4,0.0,2065000.0,43010.8,516.2,637.3,406137.0,0.0,OTHER,1,1,1,0,1.0,6.0,0.75,afternoon,4301.08,0.0,0
2820,4,0.0,2820000.0,5555.6,891.0,636.5,405073.2,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,morning,555.56,0.0,0
2156418,2064,0.75,2871070.5,2748.0,1047.0,683.1,466584.9,0.0004,TCP,1,1,1,1,0.0,6.0,0.71,morning,274.8,0.0,0
147984,173,0.26,563512.4,658.8,860.1,716.1,512774.2,0.0015,TCP,1,1,1,1,0.0,6.0,0.63,night,65.88,0.0,0
165406,158,0.23,711815.5,679.9,1052.4,785.9,617634.0,0.0015,TCP,1,1,1,1,0.0,6.0,0.7,evening,67.99,0.0,0
54413,48,0.1,540965.4,477.2,1143.9,1208.0,1459271.8,0.0021,TCP,1,1,1,0,0.0,6.0,0.56,morning,47.72,0.0,0
48939,43,0.07,681354.9,598.7,1148.7,1209.6,1463151.5,0.0017,TCP,1,1,1,0,0.0,6.0,0.63,evening,59.87,0.0,0
165459,153,0.19,874306.5,808.5,1087.1,864.0,746509.9,0.0012,TCP,1,1,1,1,0.0,6.0,0.69,morning,80.85,0.0,0
2860,4,0.0,2860000.0,6220.8,902.5,646.3,417720.0,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,night,622.08,0.0,0
61049,71,0.12,507565.8,590.3,874.5,917.3,841424.5,0.0017,TCP,1,1,1,1,0.0,6.0,0.56,morning,59.03,0.0,0
165385,166,0.26,624556.3,626.9,1001.5,774.8,600375.8,0.0016,TCP,1,1,1,1,0.0,6.0,0.67,evening,62.69,0.0,0
2718,4,0.0,2718000.0,4938.3,1728.0,21.4,456.3,0.0003,OTHER,1,1,1,0,0.0,6.0,0.5,evening,493.83,0.0,0
1982998,2024,0.84,2370167.2,2419.2,982.6,791.5,626468.2,0.0004,TCP,1,1,1,1,0.0,6.0,0.64,morning,241.92,0.0,0
2820,4,0.0,2820000.0,5839.4,891.0,636.5,405073.2,0.0002,OTHER,1,1,1,0,0.0,6.0,0.5,night,583.94,0.0,0
126967,104,0.19,682009.6,558.6,1226.9,1068.9,1142477.5,0.0018,TCP,1,1,1,1,0.0,6.0,0.67,night,55.86,0.0,0
