total_bytes,total_packets,flow_duration,bytes_per_second,packets_per_second,avg_packet_size,std_packet_size,packet_size_variance,avg_inter_arrival_time,protocol_type,protocol_diversity,unique_dst_ports,unique_src_ports,is_encrypted,tcp_flag_ratio,payload_entropy,bidirectional_ratio,time_of_day,connection_rate,failed_connection_ratio,port_scan_indicator
20470,40,10.8,1895.4,3.7,713.9,874.4,764549.6,0.2769,TCP,1,1,1,1,0.0,6.0,0.55,night,0.37,0.0,0
148,4,0.0,148000.0,25157.2,80.5,8.8,76.8,0.0001,UDP,1,1,1,0,0.0,2.7,0.5,afternoon,2515.72,0.0,0
204,4,0.06,3324.5,65.2,75.0,38.3,1470.0,0.0205,UDP,1,1,1,0,0.0,2.5,0.5,night,6.52,0.0,0
48,2,0.02,2021.1,84.2,72.0,0.0,0.0,0.0237,UDP,1,1,1,0,0.0,2.4,0.5,afternoon,8.42,0.0,0
194,4,0.0,194000.0,24390.2,73.2,35.1,1228.8,0.0001,UDP,1,1,1,0,0.0,2.4,0.5,morning,2439.02,0.0,0
0,2,0.07,0.0,27.3,0.0,0.0,0.0,0.0732,OTHER,1,1,1,0,1.0,0.0,0.0,afternoon,2.73,0.0,0
206,4,0.0,206000.0,24539.9,78.5,36.7,1346.7,0.0001,UDP,1,1,1,0,0.0,2.6,0.5,afternoon,2453.99,0.0,0
0,2,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,OTHER,1,1,1,0,1.0,0.0,0.0,afternoon,50000.0,0.0,0
322,4,105.19,3.1,0.0,113.5,67.3,4533.2,35.1,UDP,1,1,1,0,0.0,3.8,0.5,night,0.0,0.0,0
2937,36,115.79,25.4,0.3,118.9,287.8,82836.4,3.3082,TCP,1,1,1,0,0.0,4.0,0.44,afternoon,0.03,0.0,0
102,6,0.05,2225.2,130.9,46.2,7.8,61.0,0.0092,UDP,1,1,1,0,0.0,1.5,0.33,night,13.09,0.0,0
254,4,0.0,254000.0,17621.1,94.2,47.1,2218.8,0.0001,UDP,1,1,1,0,0.0,3.1,0.5,night,1762.11,0.0,0
