total_bytes,total_packets,flow_duration,bytes_per_second,packets_per_second,avg_packet_size,std_packet_size,packet_size_variance,avg_inter_arrival_time,protocol_type,protocol_diversity,unique_dst_ports,unique_src_ports,is_encrypted,tcp_flag_ratio,payload_entropy,bidirectional_ratio,time_of_day,connection_rate,failed_connection_ratio,port_scan_indicator
69702,105,0.31,227912.4,343.3,672.6,792.7,628441.5,0.0029,TCP,1,1,1,1,0.0,6.0,0.51,morning,34.33,0.0,0
205141,189,1.07,191166.9,176.1,1088.8,1186.7,1408322.8,0.0057,TCP,1,1,1,0,0.0,6.0,0.53,evening,17.61,0.0,0
1960492,2251,9.07,216230.5,248.3,881.7,933.3,871004.2,0.004,TCP,1,1,1,1,0.0,6.0,0.58,evening,24.83,0.0,0
433011,373,0.73,592053.8,510.0,1164.7,650.5,423183.6,0.002,TCP,1,1,1,1,0.0,6.0,0.8,night,51.0,0.0,0
228288,269,1.6,143033.0,168.5,851.1,907.7,823876.7,0.006,TCP,1,1,1,1,0.0,6.0,0.56,morning,16.85,0.0,0
442540,326,0.87,506806.6,373.3,1360.0,1261.9,1592314.3,0.0027,TCP,1,1,1,1,0.0,6.0,0.62,night,37.33,0.0,0
271547,218,1.2,226672.8,182.0,1252.9,1233.8,1522371.8,0.0055,TCP,1,1,1,1,0.0,6.0,0.59,evening,18.2,0.0,0
1270103,1022,11.66,108955.6,87.7,1246.2,1145.7,1312737.1,0.0114,TCP,1,1,1,1,0.0,6.0,0.63,evening,8.77,0.0,0
1010949,831,1.01,999865.5,821.9,1219.5,1215.6,1477601.3,0.0012,TCP,1,1,1,0,0.0,6.0,0.58,afternoon,82.19,0.0,0
896492,753,1.29,694412.4,583.3,1192.4,1233.6,1521789.2,0.0017,TCP,1,1,1,0,0.0,6.0,0.56,morning,58.33,0.0,0
1956689,2136,9.97,196243.0,214.2,927.2,1077.8,1161597.4,0.0047,TCP,1,1,1,1,0.0,6.0,0.56,evening,21.42,0.0,0
345191,343,2.01,171931.5,170.8,1008.5,991.4,982966.8,0.0059,TCP,1,1,1,1,0.0,6.0,0.6,afternoon,17.08,0.0,0
161503,134,1.38,116746.1,96.9,1210.1,1203.5,1448521.6,0.0104,TCP,1,1,1,0,0.0,6.0,0.58,night,9.69,0.0,0
1608659,1117,2.51,640652.9,444.8,1441.0,1148.2,1318306.8,0.0022,TCP,1,1,1,1,0.0,6.0,0.71,evening,44.48,0.0,0
96968228,75621,88.6,1094416.2,853.5,1284.9,1280.2,1638901.3,0.0012,TCP,1,1,1,0,1.0,6.0,0.57,morning,85.35,0.0,0
2077533,1835,6.75,307636.6,271.7,1138.5,1199.4,1438629.2,0.0037,TCP,1,1,1,0,0.0,6.0,0.56,night,27.17,0.0,0
165385,179,0.22,750821.7,812.6,928.8,743.8,553274.0,0.0012,TCP,1,1,1,1,0.0,6.0,0.64,evening,81.26,0.0,0
369184,324,0.2,1826170.0,1602.7,1150.6,1128.2,1272944.8,0.0006,TCP,1,1,1,1,0.0,6.0,0.58,evening,160.27,0.0,0
137060,202,0.4,345214.9,508.8,682.8,780.9,609728.3,0.002,TCP,1,1,1,1,0.0,6.0,0.5,morning,50.88,0.0,0
86554,97,0.33,264773.7,296.7,901.3,1223.8,1497570.9,0.0034,TCP,1,1,1,1,0.0,6.0,0.45,afternoon,29.67,0.0,0
2672726,2401,7.14,374380.5,336.3,1113.6,1062.0,1127932.8,0.003,TCP,1,1,1,1,0.0,6.0,0.59,night,33.63,0.0,0
166712,148,0.3,563665.6,500.4,1134.6,1288.5,1660221.2,0.002,TCP,1,1,1,1,0.0,6.0,0.53,morning,50.04,0.0,0
191695,189,1.84,104105.3,102.6,1017.5,1063.7,1131462.9,0.0098,TCP,1,1,1,1,0.0,6.0,0.56,night,10.26,0.0,0
671540,622,0.45,1497826.4,1387.3,1082.0,871.0,758624.2,0.0007,TCP,1,1,1,1,0.0,6.0,0.68,night,138.73,0.0,0
219945,192,0.29,767011.0,669.6,1152.0,1159.1,1343570.2,0.0015,TCP,1,1,1,1,0.0,6.0,0.6,evening,66.96,0.0,0
563383,486,1.94,289782.4,250.0,1162.9,680.8,463548.5,0.004,TCP,1,1,1,1,0.0,6.0,0.78,morning,25.0,0.0,0
826540,763,0.62,1340693.1,1237.6,1084.1,1164.8,1356769.2,0.0008,TCP,1,1,1,1,0.0,6.0,0.54,evening,123.76,0.0,0
165385,140,0.56,293641.9,248.6,1187.5,1361.5,1853625.0,0.0041,TCP,1,1,1,1,0.0,6.0,0.5,evening,24.86,0.0,0
272477,295,1.39,196555.3,212.8,928.5,835.6,698231.8,0.0047,TCP,1,1,1,1,0.0,6.0,0.61,afternoon,21.28,0.0,0
1047063,879,0.49,2124618.5,1783.6,1192.0,1022.1,1044762.1,0.0006,TCP,1,1,1,1,0.0,6.0,0.66,evening,178.36,0.0,0
422252,271,0.65,650784.9,417.7,1562.4,2143.3,4593898.3,0.0024,TCP,1,1,1,1,0.0,6.0,0.44,morning,41.77,0.0,0
16000000,13160,120.0,133333.4,109.7,1218.7,1203.5,1448522.3,0.0091,TCP,1,1,1,1,0.5,6.0,0.58,evening,10.97,0.0,0
123862,112,1.11,111200.0,100.6,1109.4,1220.2,1488877.1,0.01,TCP,1,1,1,0,0.0,6.0,0.54,morning,10.06,0.0,0
127579,121,0.3,424094.2,402.2,1063.2,1240.1,1537763.8,0.0025,TCP,1,1,1,1,0.0,6.0,0.55,evening,40.22,0.0,0
181656,155,0.31,592895.3,505.9,1181.9,1197.7,1434534.1,0.002,TCP,1,1,1,1,0.0,6.0,0.59,morning,50.59,0.0,0
117199,113,0.36,325393.7,313.7,1044.4,1150.6,1323948.7,0.0032,TCP,1,1,1,1,0.0,6.0,0.54,night,31.37,0.0,0
133138,149,0.54,245160.8,274.4,899.2,1021.4,1043330.0,0.0037,TCP,1,1,1,1,0.0,6.0,0.58,morning,27.44,0.0,0
355142,257,0.93,383105.6,277.2,1385.8,1139.4,1298149.5,0.0036,TCP,1,1,1,1,0.0,6.0,0.72,afternoon,27.72,0.0,0
120992,121,0.63,191493.9,191.5,1002.6,1091.0,1190192.8,0.0053,TCP,1,1,1,0,0.0,6.0,0.55,evening,19.15,0.0,0
1079693,926,1.16,931727.3,799.1,1168.6,1215.8,1478112.7,0.0013,TCP,1,1,1,0,0.0,6.0,0.55,morning,79.91,0.0,0
434784,379,2.14,203500.8,177.4,1150.8,1098.8,1207468.7,0.0057,TCP,1,1,1,0,0.0,6.0,0.61,afternoon,17.74,0.0,0
645379,393,0.44,1459836.2,889.0,1643.1,1124.7,1264938.5,0.0011,TCP,1,1,1,0,0.0,6.0,0.8,night,88.9,0.0,0
20900000,16900,24.12,866613.5,700.8,1239.5,1215.0,1476138.8,0.0014,TCP,1,1,1,0,0.0,6.0,0.58,evening,70.08,0.0,0
2130088,1677,3.31,643222.3,506.4,1275.9,1183.7,1401148.3,0.002,TCP,1,1,1,1,0.0,6.0,0.62,morning,50.64,0.0,0
229609,277,0.74,310204.0,374.2,860.9,627.3,393485.5,0.0027,TCP,1,1,1,1,0.0,6.0,0.65,evening,37.42,0.0,0
224148,208,1.08,207723.9,192.8,1084.1,1057.1,1117358.4,0.0052,TCP,1,1,1,1,0.0,6.0,0.6,evening,19.28,0.0,0
1053147,1179,5.24,201083.2,225.1,907.9,1009.0,1018163.9,0.0044,TCP,1,1,1,1,0.0,6.0,0.57,morning,22.51,0.0,0
210451,180,1.58,133435.8,114.1,1175.2,1183.7,1401254.9,0.0088,TCP,1,1,1,1,0.0,6.0,0.59,evening,11.41,0.0,0
391012,312,0.38,1020887.1,814.6,1255.2,948.2,899146.3,0.0012,TCP,1,1,1,1,0.0,6.0,0.72,night,81.46,0.0,0
134287,122,0.69,195703.7,177.8,1108.2,1142.0,1304094.9,0.0057,TCP,1,1,1,1,0.0,6.0,0.58,morning,17.78,0.0,0
264545,290,0.4,668048.0,732.3,915.7,849.0,720849.4,0.0014,TCP,1,1,1,1,0.0,6.0,0.61,afternoon,73.23,0.0,0
2978482,3056,4.55,654237.6,671.3,977.8,1049.0,1100364.4,0.0015,TCP,1,1,1,1,0.5,6.0,0.62,evening,67.13,0.0,0
165459,190,0.43,380708.6,437.2,875.4,1174.8,1380204.2,0.0023,TCP,1,1,1,1,0.0,6.0,0.42,night,43.72,0.0,0
677705,613,3.85,176140.4,159.3,1110.2,1051.4,1105391.0,0.0063,TCP,1,1,1,1,0.0,6.0,0.6,afternoon,15.93,0.0,0
399414759,263231,111.49,3582654.0,2361.1,1519.9,1767.9,3125318.4,0.0004,TCP,1,1,1,0,0.0,6.0,0.56,morning,236.11,0.0,0
1131032,988,9.13,123912.4,108.2,1151.6,1199.8,1439531.6,0.0092,TCP,1,1,1,1,0.0,6.0,0.58,night,10.82,0.0,0
147644,165,0.27,544321.7,608.3,898.8,700.5,490741.7,0.0017,TCP,1,1,1,1,0.0,6.0,0.65,morning,60.83,0.0,0
165459,168,0.48,345472.0,350.8,990.1,1276.6,1629660.2,0.0029,TCP,1,1,1,1,0.0,6.0,0.46,afternoon,35.08,0.0,0
1010943,641,1.24,814489.7,516.4,1578.4,1191.3,1419231.4,0.0019,TCP,1,1,1,0,0.0,6.0,0.74,morning,51.64,0.0,0
146449,155,0.22,660727.8,699.3,948.8,1143.0,1306423.5,0.0014,TCP,1,1,1,1,0.0,6.0,0.51,morning,69.93,0.0,0
