total_bytes,total_packets,flow_duration,bytes_per_second,packets_per_second,avg_packet_size,std_packet_size,packet_size_variance,avg_inter_arrival_time,protocol_type,protocol_diversity,unique_dst_ports,unique_src_ports,is_encrypted,tcp_flag_ratio,payload_entropy,bidirectional_ratio,time_of_day,connection_rate,failed_connection_ratio,port_scan_indicator
3992,42,116.42,34.3,0.4,148.5,275.3,75803.2,2.8395,TCP,1,1,1,0,0.0,5.0,0.45,evening,0.04,0.0,0
4186,40,116.53,35.9,0.3,128.6,370.8,137509.0,2.9878,TCP,1,1,1,1,0.0,4.3,0.45,evening,0.03,0.0,0
1440,60,111.8,12.9,0.5,165.1,178.3,31776.2,1.895,OTHER,1,1,1,0,0.5,5.5,0.33,afternoon,0.05,0.0,0
4320,43,115.91,37.3,0.4,134.1,323.7,104806.6,2.7598,TCP,1,1,1,1,0.0,4.5,0.49,evening,0.04,0.0,0
4279,40,115.54,37.0,0.3,126.5,340.2,115734.4,2.9627,TCP,1,1,1,1,0.0,4.2,0.45,afternoon,0.03,0.0,0
5259,39,116.54,45.1,0.3,168.8,412.8,170385.6,3.0668,TCP,1,1,1,1,0.0,5.6,0.44,night,0.03,0.0,0
0,113,116.02,0.0,1.0,0.0,0.0,0.0,1.0359,OTHER,1,0,1,0,0.0,0.0,0.0,afternoon,0.1,0.0,0
6051,38,115.97,52.2,0.3,181.6,463.4,214701.6,3.1344,TCP,1,1,1,1,0.0,6.0,0.45,night,0.03,0.0,0
8522,92,119.61,71.2,0.8,100.7,231.7,53672.0,1.3144,TCP,1,1,1,0,0.0,3.4,0.63,morning,0.08,0.0,0
5257,41,119.82,43.9,0.3,157.8,356.2,126911.4,2.9956,TCP,1,1,1,1,0.0,5.3,0.46,morning,0.03,0.0,0
6718,75,1.43,4684.3,52.3,125.4,248.8,61922.0,0.0194,TCP,1,1,1,0,0.0,4.2,0.53,afternoon,5.23,0.0,0
6634,75,1.26,5255.7,59.4,123.5,249.7,62363.0,0.0171,TCP,1,1,1,0,0.0,4.1,0.53,evening,5.94,0.0,0
4776,43,116.85,40.9,0.4,173.1,294.5,86721.7,2.782,TCP,1,1,1,0,0.0,5.8,0.44,morning,0.04,0.0,0
7019,46,115.68,60.7,0.4,194.0,452.9,205086.4,2.5706,TCP,1,1,1,1,0.0,6.0,0.5,evening,0.04,0.0,0
4945,40,115.73,42.7,0.3,199.4,537.8,289225.9,2.9675,TCP,1,1,1,1,0.0,6.0,0.47,evening,0.03,0.0,0
6718,75,1.45,4632.8,51.7,125.4,248.8,61922.0,0.0196,TCP,1,1,1,0,0.0,4.2,0.53,evening,5.17,0.0,0
0,123,119.27,0.0,1.0,0.0,0.0,0.0,0.9776,OTHER,1,0,1,0,0.0,0.0,0.0,evening,0.1,0.0,0
5486,45,115.48,47.5,0.4,154.0,344.3,118561.3,2.6246,TCP,1,1,1,1,0.0,5.1,0.44,evening,0.04,0.0,0
2692,37,115.9,23.2,0.3,109.4,339.7,115389.7,3.2195,TCP,1,1,1,1,0.0,3.6,0.43,morning,0.03,0.0,0
6328,42,115.87,54.6,0.4,167.4,399.7,159758.4,2.826,TCP,1,1,1,1,0.0,5.6,0.45,afternoon,0.04,0.0,0
5309,41,115.56,45.9,0.4,149.1,468.4,219397.4,2.8889,TCP,1,1,1,1,0.0,5.0,0.46,morning,0.04,0.0,0
6954,85,1.28,5420.6,66.3,113.2,239.7,57449.8,0.0153,TCP,1,1,1,0,0.0,3.8,0.52,morning,6.63,0.0,0
3253,40,115.93,28.1,0.3,117.3,337.9,114202.0,2.9725,TCP,1,1,1,1,0.0,3.9,0.45,evening,0.03,0.0,0
6634,83,1.43,4628.6,57.9,111.6,240.1,57648.4,0.0175,TCP,1,1,1,0,0.0,3.7,0.53,evening,5.79,0.0,0
7735,50,116.46,66.4,0.4,194.9,399.6,159688.4,2.3767,TCP,1,1,1,1,0.0,6.0,0.44,evening,0.04,0.0,0
6954,85,1.44,4841.9,59.2,112.0,238.2,56725.3,0.0171,TCP,1,1,1,0,0.0,3.7,0.54,evening,5.92,0.0,0
6954,85,1.32,5287.2,64.6,113.2,239.7,57449.8,0.0157,TCP,1,1,1,0,0.0,3.8,0.52,night,6.46,0.0,0
4773,40,118.33,40.3,0.3,153.7,332.9,110833.2,3.0341,TCP,1,1,1,1,0.0,5.1,0.47,night,0.03,0.0,0
5116,40,115.65,44.2,0.3,151.3,372.5,138724.5,2.9654,TCP,1,1,1,1,0.0,5.0,0.47,night,0.03,0.0,0
6718,75,1.56,4312.1,48.1,125.4,248.8,61907.5,0.0211,TCP,1,1,1,0,0.0,4.2,0.53,morning,4.81,0.0,0
7516,62,63.85,117.7,1.0,150.4,284.6,81024.5,1.0466,TCP,1,1,1,1,0.0,5.0,0.58,night,0.1,0.0,0
4841,40,116.14,41.7,0.3,139.6,365.5,133608.7,2.9779,TCP,1,1,1,1,0.0,4.7,0.45,afternoon,0.03,0.0,0
5367,40,110.45,48.6,0.4,160.8,397.0,157622.0,2.8321,TCP,1,1,1,1,0.0,5.4,0.47,evening,0.04,0.0,0
4482,42,115.4,38.8,0.4,170.9,278.9,77787.7,2.8147,TCP,1,1,1,0,0.0,5.7,0.45,morning,0.04,0.0,0
6663,45,115.97,57.5,0.4,174.7,436.2,190236.7,2.6356,TCP,1,1,1,1,0.0,5.8,0.47,morning,0.04,0.0,0
6634,83,1.33,4997.4,62.5,112.8,241.6,58391.2,0.0162,TCP,1,1,1,0,0.0,3.8,0.51,morning,6.25,0.0,0
4199,43,116.16,36.1,0.4,139.4,359.3,129092.9,2.7657,TCP,1,1,1,1,0.0,4.6,0.47,morning,0.04,0.0,0
